file_name,score
test\test-0000.mid,0.946780971
test\test-0001.mid,0.954206666
test\test-0002.mid,0.924848813
test\test-0003.mid,0.69811251
test\test-0004.mid,1
test\test-0005.mid,0.976835025
test\test-0006.mid,0.961690602
test\test-0007.mid,0.984496437
test\test-0008.mid,0.939413063
test\test-0009.mid,1
test\test-0010.mid,0.976835025
test\test-0011.mid,0.961690602
test\test-0012.mid,0.969233234
test\test-0013.mid,1
test\test-0014.mid,0.992217938
test\test-0015.mid,0.737353761
test\test-0016.mid,0.946780971
test\test-0017.mid,0.954206666
test\test-0018.mid,0.924848813
test\test-0019.mid,0.939413063
test\test-0020.mid,0.961690602
test\test-0021.mid,0.961690602
test\test-0022.mid,0.903424714
test\test-0023.mid,0.946780971
test\test-0024.mid,0.896394207
test\test-0025.mid,1
test\test-0026.mid,0.969233234
test\test-0027.mid,0.72027298
test\test-0028.mid,0.954206666
test\test-0029.mid,0.882496903
test\test-0030.mid,0.969233234
test\test-0031.mid,0.976835025
test\test-0032.mid,0.917651583
test\test-0033.mid,0.976835025
test\test-0034.mid,0.889418412
test\test-0035.mid,0.889418412
test\test-0036.mid,0.932102492
test\test-0037.mid,0.969233234
test\test-0038.mid,0.910510361
test\test-0039.mid,0.946780971
test\test-0040.mid,0.703587874
test\test-0041.mid,0.924848813
test\test-0042.mid,0.961690602
test\test-0043.mid,0.910510361
test\test-0044.mid,0.976835025
test\test-0045.mid,0.924848813
test\test-0046.mid,0.889418412
test\test-0047.mid,0.976835025
test\test-0048.mid,0.954206666
test\test-0049.mid,0.910510361
